0,84,1101,274,0,0,0,0
0,73,1135,347,0,0,0,0
88,49,0,263,860,0,0,0
0,0,0,12,13,0,37,0
0,22,0,0,6,0,0,0
0,22,15,16,0,0,0,0
0,97,1077,284,0,0,0,0
0,101,1285,349,0,0,0,0
0,229,25,0,0,0,0,0
0,0,0,0,0,0,0,0
0,33,97,52,0,0,0,0
87,0,0,180,549,0,0,0
0,0,39,49,9,0,0,0
0,0,0,0,0,0,99,0
0,0,0,0,0,88,76,0
0,25,0,0,0,2,144,0
0,171,0,0,0,0,0,0
0,314,0,0,0,0,0,0
0,422,0,0,0,0,0,0
0,605,0,0,0,0,0,0
0,166,395,157,0,0,0,0
0,174,363,157,0,0,0,0
0,196,339,158,0,0,0,0
0,24,21,0,0,0,0,0
0,21,83,0,0,0,0,0
0,169,70,6,0,0,0,0
0,184,11,6,0,0,0,0
0,286,27,0,0,0,0,0
0,195,0,0,0,0,0,0
0,63,15,0,2,0,0,0
0,355,8,0,0,0,0,0
0,60,14,0,7,0,0,0
0,22,7,3,0,0,0,36
0,426,63,0,8,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,28,0
0,0,0,0,0,0,60,0
0,0,0,0,0,0,118,0
0,17,32,59,142,0,0,0
101,61,0,252,998,0,0,0
