48.0,41.0,1397.0,684.0,421.0,69.0,8.0,20.0,239.0,17.0,0.0,0.0,0.0,370.0,0.0,0.0
4.0,87.0,5125.0,10148.0,0.0,62.0,0.0,15.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,25.0,22666.0,750.0,241.0,591.0,51.0,43.0,177.0,5.0,48.0,20.0,0.0,0.0,0.0,0.0
7.0,21.0,2540.0,232.0,0.0,571.0,2466.0,81.0,208.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,775.0,2380.0,15203.0,0.0,152.0,28.0,28.0,4383.0,9.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,1019.0,2427.0,1557.0,0.0,56.0,6.0,22.0,121.0,6.0,0.0,0.0,0.0,1833.0,0.0,0.0
4.0,377.0,18889.0,421.0,0.0,810.0,30.0,164.0,397.0,23.0,0.0,16.0,0.0,0.0,0.0,0.0
3.0,41.0,3476.0,21511.0,0.0,61.0,0.0,97.0,194.0,44.0,0.0,0.0,193.0,0.0,0.0,163.0
4.0,0.0,5522.0,801.0,0.0,103.0,9.0,16.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,5956.0
9.0,18.0,2550.0,10361.0,45.0,142.0,15.0,35.0,1600.0,46.0,0.0,384.0,0.0,0.0,0.0,0.0
0.0,228.0,1143.0,33914.0,403.0,137.0,11.0,17.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,380.0,1609.0,19979.0,153.0,63.0,0.0,12.0,1985.0,3.0,0.0,30.0,0.0,0.0,2.0,0.0
14.0,23.0,2900.0,7430.0,180.0,19.0,368.0,0.0,878.0,12.0,0.0,3.0,0.0,229.0,0.0,59.0
0.0,2367.0,7148.0,12833.0,28.0,8.0,286.0,0.0,1118.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
0.0,461.0,10452.0,368.0,25.0,6.0,9.0,0.0,71.0,0.0,0.0,792.0,0.0,254.0,0.0,36.0
0.0,950.0,5267.0,338.0,46.0,22.0,16.0,0.0,35.0,0.0,0.0,62.0,0.0,6597.0,0.0,179.0
0.0,891.0,10584.0,243.0,356.0,44.0,34.0,35.0,78.0,9.0,0.0,91.0,0.0,163.0,0.0,6974.0
0.0,29.0,3098.0,425.0,30.0,100.0,466.0,0.0,3430.0,6.0,0.0,0.0,0.0,0.0,0.0,56.0
0.0,681.0,2890.0,45495.0,33.0,6.0,297.0,0.0,438.0,0.0,0.0,5.0,0.0,163.0,0.0,40.0
0.0,17.0,56848.0,182.0,16.0,358.0,1333.0,99.0,1101.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
0.0,17.0,18033.0,458.0,22.0,69.0,351.0,0.0,898.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.0
0.0,16.0,3389.0,370.0,20.0,14.0,676.0,0.0,3230.0,10.0,0.0,286.0,0.0,0.0,0.0,442.0
0.0,594.0,3430.0,465.0,3359.0,60.0,266.0,0.0,14493.0,0.0,0.0,22.0,0.0,0.0,0.0,123.0
