name	taxonomy_id	taxonomy_lvl	SRR9061428_S.bracken_num	SRR9061428_S.bracken_frac	SRR9061429_S.bracken_num	SRR9061429_S.bracken_frac	SRR9061430_S.bracken_num	SRR9061430_S.bracken_frac	SRR9061431_S.bracken_num	SRR9061431_S.bracken_frac	SRR9061432_S.bracken_num	SRR9061432_S.bracken_frac	SRR9061433_S.bracken_num	SRR9061433_S.bracken_frac	SRR9061434_S.bracken_num	SRR9061434_S.bracken_frac	SRR9061435_S.bracken_num	SRR9061435_S.bracken_frac	SRR9061436_S.bracken_num	SRR9061436_S.bracken_frac	SRR9061437_S.bracken_num	SRR9061437_S.bracken_frac	SRR9061438_S.bracken_num	SRR9061438_S.bracken_frac	SRR9061439_S.bracken_num	SRR9061439_S.bracken_frac	SRR9061440_S.bracken_num	SRR9061440_S.bracken_frac	SRR9061441_S.bracken_num	SRR9061441_S.bracken_frac	SRR9061442_S.bracken_num	SRR9061442_S.bracken_frac	SRR9061443_S.bracken_num	SRR9061443_S.bracken_frac	SRR9061444_S.bracken_num	SRR9061444_S.bracken_frac	SRR9061445_S.bracken_num	SRR9061445_S.bracken_frac	SRR9061446_S.bracken_num	SRR9061446_S.bracken_frac	SRR9061447_S.bracken_num	SRR9061447_S.bracken_frac	SRR9061448_S.bracken_num	SRR9061448_S.bracken_frac	SRR9061449_S.bracken_num	SRR9061449_S.bracken_frac	SRR9061450_S.bracken_num	SRR9061450_S.bracken_frac	SRR9061451_S.bracken_num	SRR9061451_S.bracken_frac	SRR9061452_S.bracken_num	SRR9061452_S.bracken_frac	SRR9061453_S.bracken_num	SRR9061453_S.bracken_frac	SRR9061454_S.bracken_num	SRR9061454_S.bracken_frac	SRR9061455_S.bracken_num	SRR9061455_S.bracken_frac	SRR9061456_S.bracken_num	SRR9061456_S.bracken_frac	SRR9061457_S.bracken_num	SRR9061457_S.bracken_frac
Staphylococcus aureus	2714	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1636	0.06094	1311	0.04024	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Staphylococcus epidermidis	2715	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	513	0.01911	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Leptospirillum ferrooxidans	2820	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	117	0.00436	135	0.00414	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1003	0.02630	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhodococcus fascians	2549	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	65	0.00200	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Haemophilus influenzae	3009	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	185	0.00568	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Klebsiella oxytoca	2981	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14827	0.43068	12384	0.36233	4317	0.14754	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3135	0.09614	4626	0.12736	3405	0.08724	4275	0.13036
Clostridium perfringens	2770	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1838	0.05339	1954	0.05717	0	0.00000	0	0.00000	152	0.00494	230	0.00746	950	0.02814	856	0.02676	0	0.00000	0	0.00000	0	0.00000	0	0.00000	6716	0.20461	7742	0.20302	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	476	0.01311	0	0.00000	0	0.00000
Staphylococcus sciuri	2720	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	218	0.00633	171	0.00500	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	264	0.00810	286	0.00787	144	0.00369	218	0.00665
Trabulsiella farmeri	2989	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	331	0.00968	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1195	0.03665	884	0.02434	0	0.00000	0	0.00000
Acinetobacter rhizosphaerae	3015	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	179	0.00524	0	0.00000	0	0.00000	0	0.00000	0	0.00000	698	0.02067	0	0.00000	286	0.00944	334	0.00826	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	696	0.02135	781	0.02150	1040	0.02665	675	0.02058
Paenibacillus amylolyticus	2694	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	57	0.00167	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteroides eggerthii	2595	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2132	0.07287	2577	0.09480	245	0.00796	160	0.00519	0	0.00000	0	0.00000	251	0.00828	329	0.00814	0	0.00000	0	0.00000	83	0.00253	0	0.00000	235	0.00881	321	0.01088	79	0.00327	132	0.00593	0	0.00000	0	0.00000	0	0.00000	489	0.01491
Lactobacillus iners	2740	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	366	0.01251	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteroides uniformis	2599	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	80	0.00260	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Prevotella stercorea	2611	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	37	0.00120	29	0.00094	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	52	0.00176	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Prevotella nigrescens	2608	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	36	0.00117	40	0.00130	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Clostridium butyricum	2765	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	371	0.01099	216	0.00675	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
[Eubacterium] dolichum	2816	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1452	0.04301	2252	0.07040	200	0.00660	493	0.01220	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Coprobacillus cateniformis	2811	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	51	0.00151	108	0.00338	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
